id	title	description	link	image_link	availability	price	brand	condition	google_product_category	mpn
PZTR-MOT-0028	iFlight Velox V3 2207 V3 Fırçasız FPV Drone Motoru (1750KV)	iFlight Velox V3 V3, en yüksek drone performansı için tasarlanmıştır. 2207 ve 1750KV özelliklerine sahip olup, Hassas Aerodinamik Soğutmalı Motor. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/iflight-velox-v3-v3-28.html	https://pozitronmarket.com/assets/products/PZTR-MOT-0028.jpg	in_stock	797.59 TRY	iFlight	new	5433	PZTR-MOT-0028
PZTR-TOO-0498	ISDT Smart Smoke Stopper XT60 & XT30 V7 Kısa Devre ve Ters Kutup Koruma Sigortası (Dual Connector)	ISDT Smart Smoke Stopper XT60 & XT30 V7, en yüksek drone performansı için tasarlanmıştır. 0.5A / 1.0A Trip ve Dual Connector özelliklerine sahip olup, Kısa Devre ve Ters Kutup Koruyucu Elektronik Sigorta. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/isdt-smart-smoke-stopper-xt60-&-xt30-v7-33.html	https://pozitronmarket.com/assets/products/PZTR-TOO-0498.jpg	in_stock	546.14 TRY	ISDT	new	5433	PZTR-TOO-0498
PZTR-GPS-0449	Beitian Optical Flow & Lidar Sensor Board V3 Optik Akış ve Lidar Konumlandırma Sensörü (Indoor Hover)	Beitian Optical Flow & Lidar Sensor Board V3, en yüksek drone performansı için tasarlanmıştır. PMW3901 + VL53L1X ve Indoor Hover özelliklerine sahip olup, İç Mekan Hassas Sabitlenme Optik Akış ve Lidar Sensörü. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/beitian-optical-flow-&-lidar-sensor-board-v3-9.html	https://pozitronmarket.com/assets/products/PZTR-GPS-0449.jpg	in_stock	1217.30 TRY	Beitian	new	5433	PZTR-GPS-0449
PZTR-CAM-0231	HDZero Thumb Pro 4K Action PRO Ultra Hafif 4K HD Aksiyon Kamerası (Ultra Lightweight 16g)	HDZero Thumb Pro 4K Action Camera PRO, en yüksek drone performansı için tasarlanmıştır. 4K 30fps Wide ve Ultra Lightweight 16g özelliklerine sahip olup, 16g Ağırlığında Gyroflow Destekli Aksiyon Kamerası. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/hdzero-thumb-pro-4k-action-camera-pro-6.html	https://pozitronmarket.com/assets/products/PZTR-CAM-0231.jpg	in_stock	4141.17 TRY	HDZero	new	5433	PZTR-CAM-0231
PZTR-CAM-0257	RunCam Avatar HD Pro  Kit V6 Dijital HD FPV Görüntü Aktarım Kiti (Walksnail Digital)	RunCam Avatar HD Pro Camera Kit V6, en yüksek drone performansı için tasarlanmıştır. 1080P OLED Sony Starvis II ve Walksnail Digital özelliklerine sahip olup, Gece Görüşlü Düşük Işık Sony Starvis II FPV Kamera. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/runcam-avatar-hd-pro-camera-kit-v6-32.html	https://pozitronmarket.com/assets/products/PZTR-CAM-0257.jpg	in_stock	8070.84 TRY	RunCam	new	5433	PZTR-CAM-0257
PZTR-CAM-0259	BetaFPV Predator 5 Nano FPV V6 FPV Kamera (14x14mm Nano)	BetaFPV Predator 5 Nano FPV Camera V6, en yüksek drone performansı için tasarlanmıştır. 1000TVL Analog ve 14x14mm Nano özelliklerine sahip olup, 4ms Ultra Düşük Gecikmeli Yarış Kamerası. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/betafpv-predator-5-nano-fpv-camera-v6-34.html	https://pozitronmarket.com/assets/products/PZTR-CAM-0259.jpg	in_stock	1634.19 TRY	BetaFPV	new	5433	PZTR-CAM-0259
PZTR-BAT-0347	Auline 608AC Smart Pocket Charger 200W V3 Akıllı Dengeleyici LiPo Şarj Cihazı (Detachable Power Supply)	Auline 608AC Smart Pocket Charger 200W V3, en yüksek drone performansı için tasarlanmıştır. AC 50W / DC 200W ve Detachable Power Supply özelliklerine sahip olup, Kompakt Seyahat Tipi AC/DC Akıllı Denge Şarj Cihazı. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/auline-608ac-smart-pocket-charger-200w-v3-17.html	https://pozitronmarket.com/assets/products/PZTR-BAT-0347.jpg	in_stock	2855.72 TRY	Auline	new	5433	PZTR-BAT-0347
PZTR-VTX-0289	SpeedyBee TX800  800mW Mini V6 5.8GHz FPV Video Verici VTX (IPEX / MMCX)	SpeedyBee TX800 VTX 800mW Mini V6, en yüksek drone performansı için tasarlanmıştır. 800mW 20x20mm ve IPEX / MMCX özelliklerine sahip olup, Ultra Hafif 20x20 Kule Uyumlu Video Verici. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/speedybee-tx800-vtx-800mw-mini-v6-29.html	https://pozitronmarket.com/assets/products/PZTR-VTX-0289.jpg	in_stock	957.39 TRY	SpeedyBee	new	5433	PZTR-VTX-0289
PZTR-FLI-0208	Foxeer F722 Mini AIO 40A V4 FPV Uçuş Kontrol Kartı (20x20mm)	Foxeer F722 Mini AIO 40A V4, en yüksek drone performansı için tasarlanmıştır. STM32F722 ve 20x20mm özelliklerine sahip olup, Entegre 40A ESC'li Kompakt FC Kartı. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/foxeer-f722-mini-aio-40a-v4-23.html	https://pozitronmarket.com/assets/products/PZTR-FLI-0208.jpg	in_stock	3815.46 TRY	Foxeer	new	5433	PZTR-FLI-0208
PZTR-FRA-0379	ImpulseRC Apex 5-Inch Freestyle PRO Karbon Fiber FPV Drone Gövde Çerçeve Kiti (Arm Interlocking)	ImpulseRC Apex 5-Inch Freestyle Frame PRO, en yüksek drone performansı için tasarlanmıştır. 5-Inch High Durability ve Arm Interlocking özelliklerine sahip olup, Efsanevi Düşük Rezonanslı Freestyle Drone Gövdesi. Aşırı dayanıklılık, düşük gürültü ve maksimum verimlilik için havacılık sınıfı bileşenlerle üretilmiştir. Standart FPV drone montajları ve güç sistemleriyle tam uyumludur.	https://pozitronmarket.com/products/impulserc-apex-5-inch-freestyle-frame-pro-4.html	https://pozitronmarket.com/assets/products/PZTR-FRA-0379.jpg	in_stock	4684.96 TRY	ImpulseRC	new	5433	PZTR-FRA-0379
